ds,yhat
2020-03-15,338365.7048
2020-03-16,726198.6881
2020-03-17,776770.0083
2020-03-18,772851.4948
2020-03-19,764858.7602
2020-03-20,758983.2927
2020-03-21,460934.7113
2020-03-22,347781.5113
2020-03-23,737226.5011
2020-03-24,788865.6754
2020-03-25,785438.0263
2020-03-26,777347.1865
2020-03-27,770793.7642
2020-03-28,471517.1602
2020-03-29,356635.2136
2020-03-30,743917.9124
2020-03-31,793043.9728
2020-04-01,786847.8623
2020-04-02,775838.249
2020-04-03,766326.8399
2020-04-04,464166.5072
2020-04-05,346587.1668
2020-04-06,731465.7622
2020-04-07,778579.2757
2020-04-08,770848.4524
2020-04-09,758853.3237
2020-04-10,748959.5846
2020-04-11,447054.8007
2020-04-12,330382.9706
2020-04-13,716813.8382
2020-04-14,766095.8997
2020-04-15,761100.7924
2020-04-16,752340.1343
2020-04-17,746093.8284
2020-04-18,448148.7529
2020-04-19,335636.2861
2020-04-20,726304.9731
2020-04-21,779777.1779
2020-04-22,778797.2967
2020-04-23,773752.4864
2020-04-24,770804.8039
2020-04-25,475633.5604
2020-04-26,365276.2278
2020-04-27,757404.1005
2020-04-28,811581.4631
2020-04-29,810515.7637
2020-04-30,804579.6824
2020-05-01,799943.949
2020-05-02,502319.6903
2020-05-03,388798.64
2020-05-04,777127.4332
2020-05-05,826964.7723
2020-05-06,821129.0203
2020-05-07,810117.1866
2020-05-08,800234.2458
2020-05-09,497331.6732
2020-05-10,378643.6399
2020-05-11,762057.2075
2020-05-12,807365.4293
2020-05-13,797511.0328
2020-05-14,783101.7644
2020-05-15,770536.4436
2020-05-16,465740.7083
2020-05-17,346000.9754
2020-05-18,729233.0251
2020-05-19,775234.1634
2020-05-20,766926.6675
2020-05-21,754873.6029
2020-05-22,745406.049
2020-05-23,444360.6801
2020-05-24,328916.1778
2020-05-25,716864.8091
2020-05-26,767868.0437
2020-05-27,764703.8127
2020-05-28,757786.3908
2020-05-29,753297.8208
2020-05-30,456929.707
2020-05-31,345723.7322
2020-06-01,737347.117
2020-06-02,791351.7807
2020-06-03,790424.7064
2020-06-04,784910.4042
2020-06-05,780944.3164
2020-06-06,484195.9364
2020-06-07,371709.9592
2020-06-08,761181.6644
2020-06-09,812215.2939
