ds,y
2014-03-15,593789
2014-03-16,371881
2014-03-17,932779
2014-03-18,959483
2014-03-19,920270
2014-03-20,957032
2014-03-21,959387
2014-03-22,597815
2014-03-23,418299
2014-03-24,923396
2014-03-25,928067
2014-03-26,961287
2014-03-27,927050
2014-03-28,944696
2014-03-29,572055
2014-03-30,432880
2014-03-31,940176
2014-04-01,986346
2014-04-02,952475
2014-04-03,917123
2014-04-04,941118
2014-04-05,599182
2014-04-06,435676
2014-04-07,913081
2014-04-08,913012
2014-04-09,977698
2014-04-10,947682
2014-04-11,953384
2014-04-12,574622
2014-04-13,390666
2014-04-14,792277
2014-04-15,844484
2014-04-16,866995
2014-04-17,864791
2014-04-18,814560
2014-04-19,568016
2014-04-20,399289
2014-04-21,876478
2014-04-22,938052
2014-04-23,911681
2014-04-24,893970
2014-04-25,936028
2014-04-26,580601
2014-04-27,400302
2014-04-28,884033
2014-04-29,919869
2014-04-30,925494
2014-05-01,985012
2014-05-02,981085
2014-05-03,632332
2014-05-04,429710
2014-05-05,963691
2014-05-06,974250
2014-05-07,967197
2014-05-08,968856
2014-05-09,921741
2014-05-10,608188
2014-05-11,402497
2014-05-12,880457
2014-05-13,904717
2014-05-14,916259
2014-05-15,890597
2014-05-16,900252
2014-05-17,579674
2014-05-18,434998
2014-05-19,885010
2014-05-20,922226
2014-05-21,925959
2014-05-22,908285
2014-05-23,906712
2014-05-24,575483
2014-05-25,450296
2014-05-26,413568
2014-05-27,880521
2014-05-28,905284
2014-05-29,901067
2014-05-30,934382
2014-05-31,600856
2014-06-01,445596
2014-06-02,864622
2014-06-03,936306
2014-06-04,879397
2014-06-05,910818
2014-06-06,906586
2014-06-07,585247
2014-06-08,429503
2014-06-09,878784
2014-06-10,859477
2014-06-11,870560
2014-06-12,880810
2014-06-13,881991
2014-06-14,581799
2014-06-15,410273
2014-06-16,796802
2014-06-17,806325
2014-06-18,766725
2014-06-19,803296
2014-06-20,813597
2014-06-21,537612
2014-06-22,452933
2014-06-23,825185
2014-06-24,859711
2014-06-25,874922
2014-06-26,883107
2014-06-27,879565
2014-06-28,574082
2014-06-29,428350
2014-06-30,766381
2014-07-01,855553
2014-07-02,824805
2014-07-03,856556
2014-07-04,478993
2014-07-05,513494
2014-07-06,410521
2014-07-07,821674
2014-07-08,836929
2014-07-09,855793
2014-07-10,854968
2014-07-11,839507
2014-07-12,497531
2014-07-13,437544
2014-07-14,803242
2014-07-15,828927
2014-07-16,844384
2014-07-17,837907
2014-07-18,839720
2014-07-19,578126
2014-07-20,423665
2014-07-21,821289
2014-07-22,825700
2014-07-23,838958
2014-07-24,833052
2014-07-25,813032
2014-07-26,563247
2014-07-27,423806
2014-07-28,810122
2014-07-29,810857
2014-07-30,815885
2014-07-31,819409
2014-08-01,841692
2014-08-02,592660
2014-08-03,420667
2014-08-04,798672
2014-08-05,824134
2014-08-06,827073
2014-08-07,827473
2014-08-08,836918
2014-08-09,582607
2014-08-10,427882
2014-08-11,772003
2014-08-12,772713
2014-08-13,817833
2014-08-14,810388
2014-08-15,820884
2014-08-16,583313
2014-08-17,422345
2014-08-18,786527
2014-08-19,787767
2014-08-20,829572
2014-08-21,771537
2014-08-22,816652
2014-08-23,517416
2014-08-24,432777
2014-08-25,787836
2014-08-26,858520
2014-08-27,874420
2014-08-28,867478
2014-08-29,871087
2014-08-30,581944
2014-08-31,451820
2014-09-01,419182
2014-09-02,952266
2014-09-03,985184
2014-09-04,942676
2014-09-05,933196
2014-09-06,593846
2014-09-07,427686
2014-09-08,956395
2014-09-09,967610
2014-09-10,898549
2014-09-11,953091
2014-09-12,929062
2014-09-13,584842
2014-09-14,431379
2014-09-15,924594
2014-09-16,964802
2014-09-17,975664
2014-09-18,967453
2014-09-19,955896
2014-09-20,566053
2014-09-21,417931
2014-09-22,947353
2014-09-23,960506
2014-09-24,961323
2014-09-25,963447
2014-09-26,957961
2014-09-27,592901
2014-09-28,423502
2014-09-29,934648
2014-09-30,945847
2014-10-01,1010778
2014-10-02,960602
2014-10-03,954675
2014-10-04,557711
2014-10-05,420636
2014-10-06,957372
2014-10-07,971693
2014-10-08,972010
2014-10-09,969095
2014-10-10,954800
2014-10-11,584377
2014-10-12,389901
2014-10-13,743512
2014-10-14,914687
2014-10-15,956165
2014-10-16,959217
2014-10-17,949303
2014-10-18,567859
2014-10-19,424169
2014-10-20,939282
2014-10-21,947668
2014-10-22,959209
2014-10-23,949675
2014-10-24,943435
2014-10-25,586281
2014-10-26,410811
2014-10-27,940038
2014-10-28,953363
2014-10-29,944219
2014-10-30,951547
2014-10-31,894082
2014-11-01,556675
2014-11-02,416049
2014-11-03,995821
2014-11-04,971255
2014-11-05,990008
2014-11-06,941564
2014-11-07,873365
2014-11-08,563782
2014-11-09,411806
2014-11-10,938000
2014-11-11,759033
2014-11-12,911664
2014-11-13,866929
2014-11-14,911150
2014-11-15,532937
2014-11-16,372383
2014-11-17,863661
2014-11-18,846179
2014-11-19,889137
2014-11-20,899732
